# Infill density,Matrix resistivity (kohm.cm)
4.17E+01,3.500532172
4.16E+01,3.518422602
4.18E+01,3.482783986
4.16E+01,3.518422602
4.17E+01,3.500532172
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.19E+01,3.465176509
4.17E+01,3.500532172
4.12E+01,3.591438254
4.17E+01,3.500532172
4.18E+01,3.482783986
4.19E+01,3.465176509
4.18E+01,3.482783986
4.17E+01,3.500532172
4.17E+01,3.500532172
4.17E+01,3.500532172
4.12E+01,3.591438254
4.16E+01,3.518422602
4.17E+01,3.500532172
4.18E+01,3.482783986
4.18E+01,3.482783986
4.16E+01,3.518422602
4.17E+01,3.500532172
4.17E+01,3.500532172
4.16E+01,3.518422602
4.18E+01,3.482783986
4.19E+01,3.465176509
4.16E+01,3.518422602
4.19E+01,3.465176509
4.17E+01,3.500532172
4.18E+01,3.482783986
4.18E+01,3.482783986
4.16E+01,3.518422602
4.18E+01,3.482783986
4.17E+01,3.500532172
4.19E+01,3.465176509
4.17E+01,3.500532172
4.19E+01,3.465176509
4.17E+01,3.500532172
4.19E+01,3.465176509
4.19E+01,3.465176509
4.19E+01,3.465176509
4.18E+01,3.482783986
4.17E+01,3.500532172
4.17E+01,3.500532172
4.19E+01,3.465176509
4.17E+01,3.500532172
4.16E+01,3.518422602
4.19E+01,3.465176509
4.17E+01,3.500532172
4.18E+01,3.482783986
4.16E+01,3.518422602
4.16E+01,3.518422602
4.18E+01,3.482783986
4.16E+01,3.518422602
4.19E+01,3.465176509
4.19E+01,3.465176509
4.19E+01,3.465176509
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.19E+01,3.465176509
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.17E+01,3.500532172
4.17E+01,3.500532172
4.16E+01,3.518422602
4.16E+01,3.518422602
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.19E+01,3.465176509
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.12E+01,3.591438254
4.19E+01,3.465176509
4.16E+01,3.518422602
4.18E+01,3.482783986
4.16E+01,3.518422602
4.19E+01,3.465176509
4.19E+01,3.465176509
4.17E+01,3.500532172
4.19E+01,3.465176509
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.19E+01,3.465176509
4.19E+01,3.465176509
4.19E+01,3.465176509
4.17E+01,3.500532172
4.18E+01,3.482783986
4.16E+01,3.518422602
4.16E+01,3.518422602
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.19E+01,3.465176509
4.12E+01,3.591438254
4.18E+01,3.482783986
4.17E+01,3.500532172
4.19E+01,3.465176509
4.18E+01,3.482783986
4.16E+01,3.518422602
4.16E+01,3.518422602
4.19E+01,3.465176509
4.17E+01,3.500532172
4.17E+01,3.500532172
4.19E+01,3.465176509
4.16E+01,3.518422602
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.16E+01,3.518422602
4.19E+01,3.465176509
4.17E+01,3.500532172
4.16E+01,3.518422602
4.16E+01,3.518422602
4.16E+01,3.518422602
4.18E+01,3.482783986
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.16E+01,3.518422602
4.19E+01,3.465176509
4.19E+01,3.465176509
4.17E+01,3.500532172
4.17E+01,3.500532172
4.19E+01,3.465176509
4.18E+01,3.482783986
4.16E+01,3.518422602
4.17E+01,3.500532172
4.16E+01,3.518422602
4.18E+01,3.482783986
4.18E+01,3.482783986
4.16E+01,3.518422602
4.17E+01,3.500532172
4.16E+01,3.518422602
4.12E+01,3.591438254
4.16E+01,3.518422602
4.19E+01,3.465176509
4.17E+01,3.500532172
4.17E+01,3.500532172
4.12E+01,3.591438254
4.17E+01,3.500532172
4.16E+01,3.518422602
4.16E+01,3.518422602
4.17E+01,3.500532172
4.12E+01,3.591438254
4.17E+01,3.500532172
4.18E+01,3.482783986
4.16E+01,3.518422602
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.12E+01,3.591438254
4.18E+01,3.482783986
4.19E+01,3.465176509
4.19E+01,3.465176509
4.16E+01,3.518422602
4.18E+01,3.482783986
4.17E+01,3.500532172
4.19E+01,3.465176509
4.17E+01,3.500532172
4.19E+01,3.465176509
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.12E+01,3.591438254
4.18E+01,3.482783986
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.18E+01,3.482783986
4.19E+01,3.465176509
4.19E+01,3.465176509
4.18E+01,3.482783986
4.18E+01,3.482783986
4.17E+01,3.500532172
4.19E+01,3.465176509
4.19E+01,3.465176509
4.16E+01,3.518422602
4.16E+01,3.518422602
4.17E+01,3.500532172
4.17E+01,3.500532172
4.19E+01,3.465176509
4.16E+01,3.518422602
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.19E+01,3.465176509
4.19E+01,3.465176509
4.19E+01,3.465176509
4.16E+01,3.518422602
4.16E+01,3.518422602
4.17E+01,3.500532172
4.16E+01,3.518422602
4.17E+01,3.500532172
4.17E+01,3.500532172
4.12E+01,3.591438254
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.19E+01,3.465176509
4.17E+01,3.500532172
4.19E+01,3.465176509
4.17E+01,3.500532172
4.18E+01,3.482783986
4.16E+01,3.518422602
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.19E+01,3.465176509
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.18E+01,3.482783986
4.16E+01,3.518422602
4.17E+01,3.500532172
4.16E+01,3.518422602
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.17E+01,3.500532172
4.17E+01,3.500532172
4.17E+01,3.500532172
4.17E+01,3.500532172
4.17E+01,3.500532172
4.16E+01,3.518422602
4.16E+01,3.518422602
4.16E+01,3.518422602
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.19E+01,3.465176509
4.18E+01,3.482783986
4.16E+01,3.518422602
4.19E+01,3.465176509
4.19E+01,3.465176509
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.19E+01,3.465176509
4.18E+01,3.482783986
4.19E+01,3.465176509
4.16E+01,3.518422602
4.17E+01,3.500532172
4.16E+01,3.518422602
4.17E+01,3.500532172
4.18E+01,3.482783986
4.19E+01,3.465176509
4.17E+01,3.500532172
4.17E+01,3.500532172
4.19E+01,3.465176509
4.12E+01,3.591438254
4.17E+01,3.500532172
4.18E+01,3.482783986
4.16E+01,3.518422602
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.17E+01,3.500532172
4.17E+01,3.500532172
4.16E+01,3.518422602
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.19E+01,3.465176509
4.19E+01,3.465176509
4.17E+01,3.500532172
4.16E+01,3.518422602
4.18E+01,3.482783986
4.18E+01,3.482783986
4.16E+01,3.518422602
4.19E+01,3.465176509
4.18E+01,3.482783986
4.18E+01,3.482783986
4.19E+01,3.465176509
4.17E+01,3.500532172
4.18E+01,3.482783986
4.16E+01,3.518422602
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.17E+01,3.500532172
4.19E+01,3.465176509
4.16E+01,3.518422602
4.18E+01,3.482783986
4.17E+01,3.500532172
4.17E+01,3.500532172
4.19E+01,3.465176509
4.18E+01,3.482783986
4.17E+01,3.500532172
4.16E+01,3.518422602
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.16E+01,3.518422602
4.16E+01,3.518422602
4.18E+01,3.482783986
4.16E+01,3.518422602
4.18E+01,3.482783986
4.16E+01,3.518422602
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.16E+01,3.518422602
4.17E+01,3.500532172
4.18E+01,3.482783986
4.12E+01,3.591438254
4.18E+01,3.482783986
4.16E+01,3.518422602
4.17E+01,3.500532172
4.17E+01,3.500532172
4.16E+01,3.518422602
4.16E+01,3.518422602
4.19E+01,3.465176509
4.16E+01,3.518422602
4.19E+01,3.465176509
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.19E+01,3.465176509
4.19E+01,3.465176509
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.17E+01,3.500532172
4.19E+01,3.465176509
4.17E+01,3.500532172
4.16E+01,3.518422602
4.16E+01,3.518422602
4.18E+01,3.482783986
4.18E+01,3.482783986
4.19E+01,3.465176509
4.17E+01,3.500532172
4.16E+01,3.518422602
4.18E+01,3.482783986
4.19E+01,3.465176509
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.18E+01,3.482783986
4.17E+01,3.500532172
4.17E+01,3.500532172
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.12E+01,3.591438254
4.12E+01,3.591438254
4.17E+01,3.500532172
4.17E+01,3.500532172
4.16E+01,3.518422602
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.16E+01,3.518422602
4.19E+01,3.465176509
4.18E+01,3.482783986
4.18E+01,3.482783986
4.19E+01,3.465176509
4.18E+01,3.482783986
4.16E+01,3.518422602
4.19E+01,3.465176509
4.18E+01,3.482783986
4.17E+01,3.500532172
4.16E+01,3.518422602
4.17E+01,3.500532172
4.19E+01,3.465176509
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.16E+01,3.518422602
4.16E+01,3.518422602
4.16E+01,3.518422602
4.17E+01,3.500532172
4.18E+01,3.482783986
4.18E+01,3.482783986
4.17E+01,3.500532172
4.16E+01,3.518422602
4.16E+01,3.518422602
4.19E+01,3.465176509
4.17E+01,3.500532172
4.16E+01,3.518422602
4.19E+01,3.465176509
4.16E+01,3.518422602
4.16E+01,3.518422602
4.18E+01,3.482783986
4.19E+01,3.465176509
4.16E+01,3.518422602
4.16E+01,3.518422602
4.19E+01,3.465176509
4.16E+01,3.518422602
4.16E+01,3.518422602
4.19E+01,3.465176509
4.17E+01,3.500532172
4.19E+01,3.465176509
4.17E+01,3.500532172
4.16E+01,3.518422602
4.18E+01,3.482783986
4.16E+01,3.518422602
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.19E+01,3.465176509
4.16E+01,3.518422602
4.18E+01,3.482783986
4.17E+01,3.500532172
4.17E+01,3.500532172
4.19E+01,3.465176509
4.16E+01,3.518422602
4.18E+01,3.482783986
4.18E+01,3.482783986
4.19E+01,3.465176509
4.19E+01,3.465176509
4.17E+01,3.500532172
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.12E+01,3.591438254
4.19E+01,3.465176509
4.17E+01,3.500532172
4.17E+01,3.500532172
4.19E+01,3.465176509
4.19E+01,3.465176509
4.18E+01,3.482783986
4.18E+01,3.482783986
4.19E+01,3.465176509
4.16E+01,3.518422602
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.16E+01,3.518422602
4.19E+01,3.465176509
4.19E+01,3.465176509
4.17E+01,3.500532172
4.16E+01,3.518422602
4.17E+01,3.500532172
4.17E+01,3.500532172
4.16E+01,3.518422602
4.17E+01,3.500532172
4.16E+01,3.518422602
4.16E+01,3.518422602
4.16E+01,3.518422602
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.17E+01,3.500532172
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.16E+01,3.518422602
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.19E+01,3.465176509
4.17E+01,3.500532172
4.19E+01,3.465176509
4.16E+01,3.518422602
4.18E+01,3.482783986
4.16E+01,3.518422602
4.16E+01,3.518422602
4.16E+01,3.518422602
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.16E+01,3.518422602
4.18E+01,3.482783986
4.16E+01,3.518422602
4.18E+01,3.482783986
4.19E+01,3.465176509
4.17E+01,3.500532172
4.16E+01,3.518422602
4.18E+01,3.482783986
4.16E+01,3.518422602
4.19E+01,3.465176509
4.16E+01,3.518422602
4.17E+01,3.500532172
4.19E+01,3.465176509
4.17E+01,3.500532172
4.18E+01,3.482783986
4.18E+01,3.482783986
4.16E+01,3.518422602
4.17E+01,3.500532172
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.16E+01,3.518422602
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.19E+01,3.465176509
4.16E+01,3.518422602
4.17E+01,3.500532172
4.18E+01,3.482783986
4.18E+01,3.482783986
4.17E+01,3.500532172
4.17E+01,3.500532172
4.16E+01,3.518422602
4.17E+01,3.500532172
4.18E+01,3.482783986
4.19E+01,3.465176509
4.16E+01,3.518422602
4.18E+01,3.482783986
4.19E+01,3.465176509
4.16E+01,3.518422602
4.17E+01,3.500532172
4.17E+01,3.500532172
4.19E+01,3.465176509
4.16E+01,3.518422602
4.18E+01,3.482783986
4.16E+01,3.518422602
4.18E+01,3.482783986
4.16E+01,3.518422602
4.18E+01,3.482783986
4.19E+01,3.465176509
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.12E+01,3.591438254
4.19E+01,3.465176509
4.16E+01,3.518422602
4.16E+01,3.518422602
4.19E+01,3.465176509
4.18E+01,3.482783986
4.19E+01,3.465176509
4.18E+01,3.482783986
4.16E+01,3.518422602
4.16E+01,3.518422602
4.16E+01,3.518422602
4.17E+01,3.500532172
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.19E+01,3.465176509
4.16E+01,3.518422602
4.16E+01,3.518422602
4.18E+01,3.482783986
4.19E+01,3.465176509
4.17E+01,3.500532172
4.17E+01,3.500532172
4.17E+01,3.500532172
4.16E+01,3.518422602
4.19E+01,3.465176509
4.17E+01,3.500532172
4.16E+01,3.518422602
4.19E+01,3.465176509
4.16E+01,3.518422602
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.16E+01,3.518422602
4.17E+01,3.500532172
4.18E+01,3.482783986
4.19E+01,3.465176509
4.18E+01,3.482783986
4.17E+01,3.500532172
4.16E+01,3.518422602
4.16E+01,3.518422602
4.16E+01,3.518422602
4.17E+01,3.500532172
4.19E+01,3.465176509
4.17E+01,3.500532172
4.18E+01,3.482783986
4.18E+01,3.482783986
4.17E+01,3.500532172
4.19E+01,3.465176509
4.18E+01,3.482783986
4.16E+01,3.518422602
4.16E+01,3.518422602
4.19E+01,3.465176509
4.16E+01,3.518422602
4.17E+01,3.500532172
4.16E+01,3.518422602
4.18E+01,3.482783986
4.19E+01,3.465176509
4.18E+01,3.482783986
4.17E+01,3.500532172
4.12E+01,3.591438254
4.18E+01,3.482783986
4.18E+01,3.482783986
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.18E+01,3.482783986
4.17E+01,3.500532172
4.16E+01,3.518422602
4.17E+01,3.500532172
4.18E+01,3.482783986
4.16E+01,3.518422602
4.18E+01,3.482783986
4.16E+01,3.518422602
4.17E+01,3.500532172
4.17E+01,3.500532172
4.16E+01,3.518422602
4.12E+01,3.591438254
4.16E+01,3.518422602
4.19E+01,3.465176509
4.16E+01,3.518422602
4.18E+01,3.482783986
4.18E+01,3.482783986
4.19E+01,3.465176509
4.18E+01,3.482783986
4.19E+01,3.465176509
4.17E+01,3.500532172
4.18E+01,3.482783986
4.12E+01,3.591438254
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.17E+01,3.500532172
4.17E+01,3.500532172
4.16E+01,3.518422602
4.19E+01,3.465176509
4.16E+01,3.518422602
4.18E+01,3.482783986
4.17E+01,3.500532172
4.16E+01,3.518422602
4.19E+01,3.465176509
4.17E+01,3.500532172
4.17E+01,3.500532172
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.18E+01,3.482783986
4.19E+01,3.465176509
4.18E+01,3.482783986
4.16E+01,3.518422602
4.17E+01,3.500532172
4.16E+01,3.518422602
4.17E+01,3.500532172
4.16E+01,3.518422602
4.18E+01,3.482783986
4.19E+01,3.465176509
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.18E+01,3.482783986
4.19E+01,3.465176509
4.17E+01,3.500532172
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.19E+01,3.465176509
4.17E+01,3.500532172
4.19E+01,3.465176509
4.17E+01,3.500532172
4.17E+01,3.500532172
4.17E+01,3.500532172
4.19E+01,3.465176509
4.18E+01,3.482783986
4.18E+01,3.482783986
4.16E+01,3.518422602
4.17E+01,3.500532172
4.17E+01,3.500532172
4.18E+01,3.482783986
4.17E+01,3.500532172
4.16E+01,3.518422602
4.17E+01,3.500532172
4.16E+01,3.518422602
4.18E+01,3.482783986
4.18E+01,3.482783986
4.18E+01,3.482783986
4.16E+01,3.518422602
4.18E+01,3.482783986
4.12E+01,3.591438254
4.18E+01,3.482783986
